Date,Johor,Kedah,Kelantan,Melaka,Negeri Sembilan,Pahang,Penang,Perak,Perlis,Sabah,Sarawak,Selangor,Terengganu,Kuala Lumpur,Putrajaya,Labuan
13/3/20, 20, 5, 3, 1, 11, 2, 7, 2, 1, 15, 0, 87, 0, 40, 1, 2
14/3/20, 2, 0, 0, 5, 8, 0, 0, 0, 1, 11, 6, 5, 0, 3, 0, 0 
15/3/20 
16/3/20, 30, 26, 15, 8, 23, 17, 8, 16, 6, 31, 15, 52, 4, 63, 0,2
17/3/20, 25, 0, 7, 3, 3, 9, 8, 5, 0, 25, 8, 17, 3, 7, 0,0
18/3/20, 11, 5, 5, 1, 0, 1, 7, 5, 0, 21, 20, 31, 3, 6, 0,1 	
19/3/20, 13, 4, 14, 2, 10, 3, 2, 7, 1, 9, 2, 31, 1, 4, 5, 0 
20/3/20, 13, 1, 7, 2, 10, 4, 5, 10, 0, 7, 7, 40, 9, 16, 0, 0 	
21/3/20, 15, 6, 10, 0, 5, 1, 13, 10, 0, 17, 10, 29, 7, 27, 3, 0 
22/3/20, 16, 5, 2, 1, 8, 3, 8, 11, 0, 22, 8, 17, 5, 17, 0, 0 	
23/3/20, 13, 7, 8, 2, 16, 16, 8, 15, 0, 11, 2, 45, 6, 59, 4, 0 	
24/3/20, 4, 5, 7, 6, 15, 0, 2, 17, 0, 1, 5, 27, 0, 15, 2, 0 	
25/3/20, 34, 5, 6, 2, 14, 8, 2, 30, 1, 0, 2, 54, 0, 13, 1, 0 	
26/3/20, 43, 3, 10, 0, 9, 2, 4, 23, 0, 2, 10, 75, 1, 51, 2, 0 	
27/3/20, 20, 1, 4, 0, 6, 4, 6, 8, 0, 10, 15, 36, 2, 2, 16, 0
28/3/20, 26, 1, 10, 9, 15, 14, 6, 6, 0, 15, 8, 33, 4, 7, 0, 5
29/3/20, 24, 1, 15, 1, 9, 12, 1, 11, 0, 0, 11, 33, 2, 28, 2, 0

